candidate_id,comedian_id,comedian_name,matched_name,normalized_match,feed_id,podcast_title,author,feed_url,confidence,current_status,decision,review_reason,evidence
30414:6803485,30414,Joanne McNally,Answering LIstener Questions with Joanne McNally,"joanne, mcnally",6803485,Problem Solved with Jeff Guenther and Alex Moskovich,,https://rss.art19.com/problem-solved-with-jeff-guenther,1.00,pending,,,"{""episode_title"": ""Answering LIstener Questions with Joanne McNally"", ""feed_url"": ""https://rss.art19.com/problem-solved-with-jeff-guenther"", ""matched_terms"": [""joanne"", ""mcnally""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 22852169370, ""podcast_index_guid"": ""gid://art19-episode-locator/V0/C_J2c1G1l0MkFCk1e24HQripqg8Cqignc8BPoxnAEQw"", ""podcast_name"": ""Problem Solved with Jeff Guenther and Alex Moskovich"", ""search_term"": ""Joanne McNally"", ""source_feed_id"": ""6803485"", ""source_feed_url"": ""https://rss.art19.com/problem-solved-with-jeff-guenther""}"
30414:6839737,30414,Joanne McNally,"JOANNE MCNALLY: The Identity Crisis of Being Adopted, Finding Success In My 30s and Why I’m Single","joanne, mcnally",6839737,Great Company with Jamie Laing,,https://feeds.acast.com/public/shows/65d737dfdc02e00016c413b2,1.00,pending,,,"{""episode_title"": ""JOANNE MCNALLY: The Identity Crisis of Being Adopted, Finding Success In My 30s and Why I\u2019m Single"", ""feed_url"": ""https://feeds.acast.com/public/shows/65d737dfdc02e00016c413b2"", ""matched_terms"": [""joanne"", ""mcnally""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 45748557068, ""podcast_index_guid"": ""6925e0311874a1556df6d6f1"", ""podcast_name"": ""Great Company with Jamie Laing"", ""search_term"": ""Joanne McNally"", ""source_feed_id"": ""6839737"", ""source_feed_url"": ""https://feeds.acast.com/public/shows/65d737dfdc02e00016c413b2""}"
30414:7288088,30414,Joanne McNally,"Joanne McNally – Can You Party, Stay Single & Still Be Biologically Younger?","joanne, mcnally",7288088,What's My Age Again?,,https://rss.podplaystudio.com/3497.xml,1.00,pending,,,"{""episode_title"": ""Joanne McNally \u2013 Can You Party, Stay Single & Still Be Biologically Younger?"", ""feed_url"": ""https://rss.podplaystudio.com/3497.xml"", ""matched_terms"": [""joanne"", ""mcnally""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 36384302027, ""podcast_index_guid"": ""5d3c8caec6d4a4ae9646c50c1d1a0949"", ""podcast_name"": ""What's My Age Again?"", ""search_term"": ""Joanne McNally"", ""source_feed_id"": ""7288088"", ""source_feed_url"": ""https://rss.podplaystudio.com/3497.xml""}"
30414:853418,30414,Joanne McNally,158. Horn For Versailles with Joanne McNally,"joanne, mcnally",853418,Tea With Me,,https://anchor.fm/s/fbf86b40/podcast/rss,1.00,pending,,,"{""episode_title"": ""158. Horn For Versailles with Joanne McNally"", ""feed_url"": ""https://anchor.fm/s/fbf86b40/podcast/rss"", ""matched_terms"": [""joanne"", ""mcnally""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 7798990558, ""podcast_index_guid"": ""3415c2b2-0361-46e1-9af4-9a5a3ebaefd1"", ""podcast_name"": ""Tea With Me"", ""search_term"": ""Joanne McNally"", ""source_feed_id"": ""853418"", ""source_feed_url"": ""https://anchor.fm/s/fbf86b40/podcast/rss""}"
30414:881640,30414,Joanne McNally,Changes Revisited: Joanne McNally and Susan Herdman,"joanne, mcnally",881640,Changes with Annie Macmanus,,https://feeds.acast.com/public/shows/181c8a66-892f-476f-8153-5785ba215e34,1.00,pending,,,"{""episode_title"": ""Changes Revisited: Joanne McNally and Susan Herdman"", ""feed_url"": ""https://feeds.acast.com/public/shows/181c8a66-892f-476f-8153-5785ba215e34"", ""matched_terms"": [""joanne"", ""mcnally""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 14599505185, ""podcast_index_guid"": ""642565a256d10b0011b9ed34"", ""podcast_name"": ""Changes with Annie Macmanus"", ""search_term"": ""Joanne McNally"", ""source_feed_id"": ""881640"", ""source_feed_url"": ""https://feeds.acast.com/public/shows/181c8a66-892f-476f-8153-5785ba215e34""}"
30414:896226,30414,Joanne McNally,Joanne McNally: “I’m problematically independent” Being an introverted extrovert,"joanne, mcnally",896226,Happy Place,,https://feeds.acast.com/public/shows/98ddd5a0-c00b-4f80-9a5b-d4584d0040ac,1.00,pending,,,"{""episode_title"": ""Joanne McNally: \u201cI\u2019m problematically independent\u201d Being an introverted extrovert"", ""feed_url"": ""https://feeds.acast.com/public/shows/98ddd5a0-c00b-4f80-9a5b-d4584d0040ac"", ""matched_terms"": [""joanne"", ""mcnally""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 31459134381, ""podcast_index_guid"": ""674eb19d45e50bc7528312e8"", ""podcast_name"": ""Happy Place"", ""search_term"": ""Joanne McNally"", ""source_feed_id"": ""896226"", ""source_feed_url"": ""https://feeds.acast.com/public/shows/98ddd5a0-c00b-4f80-9a5b-d4584d0040ac""}"
30414:965144,30414,Joanne McNally,I Weigh - Joanne McNally - LIVE,"joanne, mcnally",965144,Wrong Turns with Jameela Jamil,,https://feeds.acast.com/public/shows/686302e79951fac41b1d2418,1.00,pending,,,"{""episode_title"": ""I Weigh - Joanne McNally - LIVE"", ""feed_url"": ""https://feeds.acast.com/public/shows/686302e79951fac41b1d2418"", ""matched_terms"": [""joanne"", ""mcnally""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 27948469411, ""podcast_index_guid"": ""ee96541e-ff22-43dd-86e0-08f84de0d69c"", ""podcast_name"": ""Wrong Turns with Jameela Jamil"", ""search_term"": ""Joanne McNally"", ""source_feed_id"": ""965144"", ""source_feed_url"": ""https://feeds.acast.com/public/shows/686302e79951fac41b1d2418""}"
45498:1303437,45498,T.J. Miller,Miller Frost Podcast Episode 140,miller,1303437,Miller Frost Podcast,,https://feeds.acast.com/public/shows/62210de4b56a7400167bb2a2,1.00,pending,,,"{""episode_title"": ""Miller Frost Podcast Episode 140"", ""feed_url"": ""https://feeds.acast.com/public/shows/62210de4b56a7400167bb2a2"", ""matched_terms"": [""miller""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 9520696927, ""podcast_index_guid"": ""62f94f9d8cf2d8001271dfef"", ""podcast_name"": ""Miller Frost Podcast"", ""search_term"": ""T.J. Miller"", ""source_feed_id"": ""1303437"", ""source_feed_url"": ""https://feeds.acast.com/public/shows/62210de4b56a7400167bb2a2""}"
45498:1379907,45498,T.J. Miller,Proactive Management Through Revenue Operations (Ft. Tyler Miller) | Ep. #34,miller,1379907,HIRED! The Podcast With Travis Miller,,https://rss.buzzsprout.com/1382425.rss,1.00,pending,,,"{""episode_title"": ""Proactive Management Through Revenue Operations (Ft. Tyler Miller) | Ep. #34"", ""feed_url"": ""https://rss.buzzsprout.com/1382425.rss"", ""matched_terms"": [""miller""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 15579331084, ""podcast_index_guid"": ""Buzzsprout-13659127"", ""podcast_name"": ""HIRED! The Podcast With Travis Miller"", ""search_term"": ""T.J. Miller"", ""source_feed_id"": ""1379907"", ""source_feed_url"": ""https://rss.buzzsprout.com/1382425.rss""}"
45498:3386267,45498,T.J. Miller,Episode 239 - From Rocket Science to Co-Living Profits: Miller McSwain on Transforming Real Estate Strategies,miller,3386267,The Co-Living Show,,https://rss.buzzsprout.com/2083832.rss,1.00,pending,,,"{""episode_title"": ""Episode 239 - From Rocket Science to Co-Living Profits: Miller McSwain on Transforming Real Estate Strategies"", ""feed_url"": ""https://rss.buzzsprout.com/2083832.rss"", ""matched_terms"": [""miller""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 36966116629, ""podcast_index_guid"": ""Buzzsprout-17107419"", ""podcast_name"": ""The Co-Living Show"", ""search_term"": ""T.J. Miller"", ""source_feed_id"": ""3386267"", ""source_feed_url"": ""https://rss.buzzsprout.com/2083832.rss""}"
45498:3535896,45498,T.J. Miller,The Karl Miller Show - What To Look For In a Home Inspection,miller,3535896,The Karl Miller Show,,https://anchor.fm/s/4004f958/podcast/rss,1.00,pending,,,"{""episode_title"": ""The Karl Miller Show - What To Look For In a Home Inspection"", ""feed_url"": ""https://anchor.fm/s/4004f958/podcast/rss"", ""matched_terms"": [""miller""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 2237018592, ""podcast_index_guid"": ""d0b09d89-0e15-4adf-bb16-d3f8b3592ff5"", ""podcast_name"": ""The Karl Miller Show"", ""search_term"": ""T.J. Miller"", ""source_feed_id"": ""3535896"", ""source_feed_url"": ""https://anchor.fm/s/4004f958/podcast/rss""}"
45498:3711856,45498,T.J. Miller,The Pat Miller Show's Greatest Hits,miller,3711856,Pat Miller Show® Podcast,,https://feeds.captivate.fm/pat-miller-show-podcast/,1.00,pending,,,"{""episode_title"": ""The Pat Miller Show's Greatest Hits"", ""feed_url"": ""https://feeds.captivate.fm/pat-miller-show-podcast/"", ""matched_terms"": [""miller""], ""metadata_source"": ""podcast_index"", ""podcast_index_episode_id"": 15580668806, ""podcast_index_guid"": ""f7c54f8b-df98-4663-8b3e-9f59bafdc9cc"", ""podcast_name"": ""Pat Miller Show\u00ae Podcast"", ""search_term"": ""T.J. Miller"", ""source_feed_id"": ""3711856"", ""source_feed_url"": ""https://feeds.captivate.fm/pat-miller-show-podcast/""}"
45498:5440787,45498,T.J. Miller,Malignant (2021) FEAT. James Miller,miller,5440787,Midnight Movie House,,https://rss.buzzsprout.com/1855801.rss,1.00,pending,,,"{""episode_title"": ""Malignant (2021) FEAT. James Miller"", ""feed_url"": ""https://rss.buzzsprout.com/1855801.rss"", ""matched_terms"": [""miller""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 24262664593, ""podcast_index_guid"": ""Buzzsprout-15286138"", ""podcast_name"": ""Midnight Movie House"", ""search_term"": ""T.J. Miller"", ""source_feed_id"": ""5440787"", ""source_feed_url"": ""https://rss.buzzsprout.com/1855801.rss""}"
45498:5777587,45498,T.J. Miller,Stan Miller and Katie Beth: Aligning With your Purpose and Creating Meaningful Connections,miller,5777587,Legacy Leaders,,https://feeds.megaphone.fm/yourlifeyourlegacy,1.00,pending,,,"{""episode_title"": ""Stan Miller and Katie Beth: Aligning With your Purpose and Creating Meaningful Connections"", ""feed_url"": ""https://feeds.megaphone.fm/yourlifeyourlegacy"", ""matched_terms"": [""miller""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 15907764848, ""podcast_index_guid"": ""82b0fa48-6f43-11ee-b327-a79312d4aa85"", ""podcast_name"": ""Legacy Leaders"", ""search_term"": ""T.J. Miller"", ""source_feed_id"": ""5777587"", ""source_feed_url"": ""https://feeds.megaphone.fm/yourlifeyourlegacy""}"
