club_id,club,visible,status,club_type,enabled_sources,future_shows,shows_30d,max_show_date,latest_num_shows,latest_success,latest_items_before_filter,latest_bot_block,latest_error,previous_num_shows,previous_success,previous_items_before_filter,previous_bot_block,previous_error,classification,would_fire_after_task_3584_retune
4601,Fox Theatre - Atlanta,True,active,club,ticketmaster:ticketmaster_comedy,10,14,2026-12-11 00:30:00+00:00,0,True,0,False,,0,True,0,False,,real_regression_future_inventory_still_present,yes
4624,GLC Live at 20 Monroe,True,active,club,ticketmaster:ticketmaster_comedy,0,3,2026-06-27 22:00:00+00:00,0,True,0,False,,0,True,0,False,,alert_noise_clean_zero_inventory_aged_out,no
10956,Galactic Theatre,True,active,club,eventbrite:eventbrite,0,1,2026-07-03 00:00:00+00:00,0,True,0,False,,0,True,0,False,,alert_noise_clean_zero_inventory_aged_out,no
4769,Garden Amphitheatre,True,active,club,ticketmaster:ticketmaster_comedy,0,1,2026-06-28 01:00:00+00:00,0,True,0,False,,0,True,0,False,,alert_noise_clean_zero_inventory_aged_out,no
11250,Graffiti Loft,True,active,club,eventbrite:eventbrite,0,1,2026-07-02 23:30:00+00:00,0,True,0,False,,0,True,0,False,,alert_noise_clean_zero_inventory_aged_out,no
4625,Grand Pointe,True,active,club,ticketmaster:ticketmaster_comedy,0,1,2026-06-19 00:00:00+00:00,0,True,0,False,,0,True,0,False,,alert_noise_clean_zero_inventory_aged_out,no
11103,Grapes & Giggles,True,active,club,squarespace:squarespace,0,1,2026-06-11 03:30:00.173000+00:00,0,True,0,False,,0,True,0,False,,alert_noise_clean_zero_inventory_aged_out,no
8702,HillBilly's Grub & Pub,True,active,club,eventbrite:eventbrite,0,1,2026-06-18 23:00:00+00:00,0,True,0,False,,0,True,0,False,,alert_noise_clean_zero_inventory_aged_out,no
4488,Hobby Center,True,active,club,ticketmaster:ticketmaster_comedy,0,4,2026-06-15 00:00:00+00:00,0,True,0,False,,0,True,0,False,,alert_noise_clean_zero_inventory_aged_out,no
2561,Hollywood Casino Columbus,True,active,club,ticketmaster:ticketmaster_comedy,0,1,2026-06-19 00:00:00+00:00,0,True,0,False,,0,True,0,False,,alert_noise_clean_zero_inventory_aged_out,no
